human	rat	mouse	fly	worm	yeast	alpaca	cow	horse	pig	sheep	cat	dog	guinea_pig	rabbit	chicken	duck	turkey
Q13426	Q5XI44	Q924T3	0	0	0	0	A2VDW3	F7DHF1	0	W5Q208	M3X1I2	F6UNA4	A0A286Y4W3	G1T8M3	F1NDC0	U3J8R8	0
Q9UGQ2	D4A9I3	Q8BG21	Q95T12	Q93533	0	0	Q05B90	0	A0A286ZPA5	W5NZ51	M3W719	E2QUX4	A0A286XRP9	G1TSF7	A0A1D5PHF8	U3IGJ4	G1N485
Q6IPT4	D3ZZ05	B1AS42	Q9VWK8	0	0	0	A6QP65	F6XQ14	I3LRG1	W5PAQ6	A0A2I2U6K4	F1Q388	A0A286Y2F2	G1U5Z8	F1NPT9	U3I600	G1NFR7
Q8IV13	F1LPN6	Q5SRT8	0	0	0	0	G5E6L8	F6WH74	F1RR51	W5PV51	M3XA43	0	A0A286Y007	G1U2K9	A0A1D5PRD8	U3ILY6	G1MVB3
Q96C12	Q5PQP9	Q5EBP3	0	0	0	0	E1BLT9	F6ZIB4	A0A287B4M1	W5PIB0	A0A2I2UGN7	F1PBF5	H0VGK0	G1THF8	0	0	0
A0A1B0GW35	M0R528	B9EK06	0	0	0	0	G3N050	0	I3LVM2	W5NVE1	A0A2I2U2Z3	J9P390	A0A286Y3B9	0	R4GKM0	0	0
Q8NGN0	D3ZLT4	Q8VFN1	0	0	0	0	E1BEI5	0	F1S9N3	0	M3WY49	F1PM15	0	0	0	0	0
Q76I76	F1M4Q5	Q5SW75	0	0	0	0	E1BPN5	F7DVP7	A0A286ZPQ5	W5PG86	M3VZ36	J9NY81	A0A286XJR6	G1TG78	F1P3I1	U3IVQ2	G1N9R0
Q8N0U2	F1M1X3	0	0	0	0	0	G3MWN8	0	A0A287ACR3	W5PC94	M3WHZ3	F1PXA3	0	G1SND2	F1NM15	0	G1NFY2
Q9Y5H8	M0RBC1	0	0	0	0	0	G3MWT6	F6SDR5	0	0	0	0	0	0	0	0	0
Q76LX8	D4A0T9	Q769J6	0	0	0	0	F1MVP0	F6SU53	I3LKV5	W5NZH3	M3X5J0	E2QUY9	H0VGJ2	G1SLP6	A0A1D5PEF7	U3IG26	G1N475
O75717	D3ZN63	P59328	Q494K2	Q19520	Q01454	0	E1B7F5	F6VD06	F1SSP1	W5QIV4	M3XA45	E2RGF6	H0V0V5	G1SMZ0	A0A1D5PDL4	U3ID28	G1NLP6
O95445	P14630	Q9Z1R3	0	0	0	0	F1MYX2	F6UEG9	Q2LE37	W5PAJ9	M3W828	E2RQ71	H0VHP0	G1SU36	0	0	0
Q9NY33	O55096	Q99KK7	Q9VHR8	G5ECW7	Q08225	0	F2Z4F5	F6TNY4	I3LGH6	W5P6F9	M3WB74	J9P4M5	H0UUH1	G1TPL7	0	0	0
Q6P5Z2	Q63945	Q8K045	0	0	0	0	E1B7J3	F6SNP3	F1RR68	W5PIK2	M3W4U1	E2RSW6	H0VPN7	G1U761	F1NF33	U3J0A0	G1MZ76
O14994	A0A096MIT7	Q8JZP2	0	0	0	0	F1MCX8	F6QSQ8	0	W5Q9U8	0	F1P717	H0V9S9	G1SUW6	0	U3ITF3	G1NJG7
O75807	Q6IN02	P17564	0	0	0	0	G3X6A2	F6PQN6	F1RIN9	W5PS00	M3XBR1	J9P332	0	G1TEF9	0	0	0
P35625	Q4V8L0	P39876	0	0	0	0	A5PKB4	Q9TUL9	A0A286ZZX3	C8BKC2	A0A2I2UAQ8	F5CBP3	A0A286XFC8	G1SUX1	P26652	R0KBG0	G1NJF8
A1A4Y4	Q6AYC2	Q60766	0	0	0	0	0	0	0	0	0	0	0	G1U8G0	0	0	0
O00411	D3ZYB6	Q8BKF1	Q9VPW4	A5PEY3	P13433	0	E1BCZ0	H9GZN4	A0A287BLR6	W5PGJ1	M3WNJ2	F1PCF7	H0VY05	0	E1BZ13	U3I5L5	G1MW79
Q8TB52	Q5XI67	Q8BJL1	0	0	0	0	E1BAY5	F6Y4E9	F1S735	W5NV72	M3X5C4	E2R987	H0VN32	G1TB12	A0A1D5PE84	U3J3I2	G1NIT5
Q9UJJ9	B0BNH1	Q6S5C2	0	0	0	0	Q58CS8	F7BMS8	F1RFZ5	W5Q1W8	M3WDM5	J9NW92	H0VQ49	G1TJ51	E1BS68	U3J991	G1N506
P08243	P49088	Q61024	Q7KTW9	Q21463	0	0	Q1LZA3	F6TDM1	D0G0C6	W5P3L4	M3X7H3	E2RF46	H0VFI5	G1U2E5	Q5ZJU3	R0LPL6	G1NBQ4
Q9NUA8	D4A365	Q6PCS8	A0A0B4KFE8	0	0	0	F1N193	F6XC90	F1STZ6	W5PDY6	M3WUV1	E2RJ95	H0VMD4	G1SN59	E1BXM9	U3ICQ3	G1N4I1
Q9UL51	F1LRY7	O88703	0	0	0	0	F1MW86	0	A0A287ARN0	W5PG78	M3WQ23	F1PA52	H0WDP7	0	F1NLU5	U3IUS9	G1MVY8
Q9HBA0	Q9ERZ8	Q9EPK8	0	0	0	0	E1BCP0	F6VFQ4	F1RIT1	W5PYZ0	M3WF75	E2R7T7	A0A286XTD3	G1SLF4	A0A1D5PXA5	U3IC92	G1N3R5
Q9NSA1	Q8VI80	Q9JJN1	0	0	0	0	E1BDA6	F6R1Q0	C6JWG4	W5PRI3	M3W7L7	E2RRP8	H0UTJ6	G1TD53	0	0	0
P19526	Q10980	P97327	0	0	0	0	F1MS89	F6ZAB4	0	W5PRG1	A0A2I2V237	0	A0A286XAD2	Q10979	0	0	0
Q16825	Q62728	G5E8J4	0	0	0	0	F1MRH9	F7ASJ2	F1SDY9	W5NYY2	0	E2RLF5	A0A286Y0M8	G1TTQ9	A0A1D5P6Q1	U3IM37	0
Q5VWQ0	D4A1U7	Q80T69	0	0	0	0	E1BBV1	F6VZX7	I3LIT1	W5QF35	M3XAR5	E2RAZ3	H0V925	G1SKC4	A0A1D5PEL9	R0LV33	G1N0P7
U3KQS2	A0A0G2JTY3	A0A1L1SUI3	0	0	0	0	E1BK31	F7E2Z6	F1SAI9	W5PS35	M3VW29	J9P3Z1	A0A286X8K5	G1TDC2	F1NTH9	U3IG33	G1MYF9
Q6V1X1	D3ZHQ1	Q80YA7	0	0	0	0	F1N1L4	F7BC46	K7GN07	W5Q971	M3XBD6	E2RSR6	H0VQB0	G1U5R6	F1NMX9	R0K2Q3	G1NBI6
Q8N884	A0A0G2JVC4	Q8C6L5	0	0	0	0	E1BGN7	F7CHG3	I3LM39	W5P7Y3	M3WY79	E2RMC6	H0VH90	G1TRH0	F1NVJ8	R0LS05	G1NM40
Q9P2G4	D3ZAP3	Q8BJS7	0	0	0	0	A3KMW7	F7DHV1	A0A287BH15	0	0	0	0	G1U092	0	U3IKX9	G1NHA6
O43159	Q5U4F0	Q9DB85	Q7K2B0	O44410	P38961	0	E1BJI1	F7BL85	A0A287A4T9	W5Q7M1	M3WMH8	E2QUX8	H0VLL8	G1U3F7	0	U3IPR8	0
Q9H7X7	Q5FVJ7	Q9DAI2	0	Q9XUC2	0	0	Q5E9J4	F7A8A4	F1RKG2	W5PZK3	M3W4Q9	F6V8Z0	A0A286XRH9	G1STM1	F1NYS6	U3J9N6	G1MW60
P54803	G3V6H1	P54818	0	Q95QT2	0	0	E1B7K0	F7BR32	A0A287BPN4	W5NYK8	0	P54804	H0VF42	G1SWZ5	F1NJ89	U3I7V4	G1NJZ8
Q5T9C2	M0RAC2	Q78T81	0	0	0	0	F1MIT7	F7DDH3	A0A286ZY83	W5NXV9	M3VWR8	E2RSK5	A0A286Y374	G1U6M6	E1BZB0	U3I2G7	G1MWZ5
O75683	Q5BJZ4	P70279	Q9VDS6	Q23525	0	0	Q0VCY3	F6T8R5	A0A287B433	W5P0L4	A0A2I2UDB8	0	A0A286XDQ1	0	A0A1D5PPM7	U3IBI8	G1N3Q7
Q8TD16	Q496Z1	Q921C5	0	0	0	0	G3N3P0	F7DPZ1	A0A287AJT8	W5PEC2	M3WRZ8	E2RPJ7	A0A286XTY8	G1SZW5	E1C2N3	U3J6N0	G1N201
P78368	Q62762	Q8BVP5	0	0	0	0	A7MB90	F7DPD1	F1SDH5	W5PU37	M3WZ99	E2QX25	A0A286XC41	0	F1P4M2	U3IU20	G1MTK4
P31314	D4A270	Q9QX99	0	0	0	0	E1BNZ8	F6ZVF0	A0A287BGH2	W5Q4C2	M3W718	E2RHD0	H0V0A6	G1T4S9	F1NNC8	U3IB41	G1NCR9
Q9Y3C6	Q4KLI4	Q9D0W5	Q9W0Q2	Q18445	0	0	Q5E992	F6ZB40	0	W5PWX5	A0A2I2U8T1	E2RPE2	A0A286XZW1	G1THY5	A0A1D5PW44	0	H9H168
Q58WW2	D4A8L4	Q9DC22	0	0	0	0	F1MBJ1	F7C4M4	A0A287A3W6	W5PS92	M3WLU2	E2REY6	H0W8A0	G1SLW3	F1NU19	U3IBE3	G1NNN5
Q6UW01	D3Z9H1	Q9JHG0	0	0	0	0	G3X6U9	F7B9Z3	A8S2C3	W5QCM6	A0A2I2UFE1	J9PAQ9	H0V517	G1SGW5	0	0	0
Q9UMS5	F1M8G0	Q9QZ09	0	0	0	0	Q08DA4	F6S517	F1SBQ7	W5QF08	A0A2I2UST3	E2RBX4	A0A286XNR9	G1SKC1	E1BZ77	U3I9X8	G1N0M1
P30838	P11883	P47739	0	0	0	0	F1N015	F6SMC6	F1SDC4	W5Q901	A0A2I2V4K3	E2RB52	H0VTW6	0	F1NH33	0	G1N4Z8
P78356	O88377	Q80XI4	0	0	0	0	F1MHT2	F7BQA1	A0A286ZQ65	W5PJD3	M3X2P8	F1PGQ7	H0V5J3	G1TAI4	A0A1D5PV96	U3I861	G1N0Q7
Q562E7	D4A929	Q5ND34	Q9VKD0	0	0	0	A7Z049	F6Z5H2	A0A287AW46	W5PWV5	A0A2I2USA3	E2R4W6	H0VKJ6	G1SCK3	R4GFY3	U3IUG4	G1N0Y7
Q96SI1	B5DF44	Q8K0E1	0	0	0	0	Q0VD00	F6QCZ4	A0A287ATB5	W5P2X7	M3W8R1	E2QXJ1	A0A286Y3P3	G1SZH5	K4HVD3	U3INW4	G1N2S1
Q9BWH2	Q6AYM3	Q9D9Q3	0	0	0	0	Q8MJN0	F6RA93	Q864V5	W5NZS7	M3X325	F1PDH0	H0VTT9	G1TTS1	A0A1D5PY21	U3IAN4	G1NA58
Q9Y274	Q569D2	Q8VIB3	0	0	0	0	Q6H8M7	F6R9I6	A0A286ZXE1	W5Q8L9	M3W1V7	E2RCV7	H0VNA4	G1SUX3	F1NQP1	R0M6H0	G1NNG6
P49427	D4A453	0	Q9VUR4	Q95XN7	0	0	F1N4D3	0	A0A287BPQ6	W5PFT9	M3W8G8	J9P0N9	A0A286XST4	G1TQD7	F1NL19	U3ITS3	G1MVS2
O75185	M0RAF9	A7L9Z8	0	0	0	0	F1MMF3	F7BU46	F1S5U9	W5PM16	A0A2I2UPJ0	J9NY98	H0W2R6	0	A0A1D5PFD4	U3IYF7	G1N5F8
Q16720	Q64568	Q0VF55	0	0	0	0	F1MS16	F6Y6S3	K7GRJ7	W5PCE8	M3W1F6	E2R4W3	A0A286XZ97	G1SHF6	0	0	0
Q9UJD0	G3V7H4	Q80U57	0	0	0	0	E1BAB7	F6VWG7	A0A287B2J6	W5QGC5	M3VZD5	E2R3C1	H0UWJ3	G1T6N2	E1C134	U3I5P9	0
Q8WV44	F1LMK2	Q5NCC3	0	0	0	0	E1BBY2	F7E149	A0A287AJ30	W5PBI5	M3VZL5	E2RBG7	H0VVJ5	0	0	0	0
Q15771	A0A0G2JTT4	Q923S9	Q9VM50	Q9XWZ3	0	0	Q17QB7	F6UQ57	F2Z5W1	W5P6P9	M3WKN6	E2RG98	A0A286XIS3	G1STC3	F1NWF1	R0L5I3	G1NQQ4
Q15043	D3ZZM0	Q75N73	0	0	0	0	A5D7L5	F6TXV7	0	0	M3VWN8	F1PMK5	H0UVH1	G1SVM9	A0A1D5PIC3	U3J267	H9H0Q2
Q6AZW8	A0A0G2KBC6	0	0	0	0	0	0	0	A0A287B1U3	W5PX96	0	0	A0A286Y1N6	G1U9M6	0	0	0
P08294	Q08420	O09164	Q7JR71	P34461	0	0	A3KLR9	0	I3LUD1	W5NQP5	0	F1PAS8	A0A286X7H2	P41975	F1NHI4	U3I1W3	G1NIN0
Q9NXK6	Q5PQT5	Q9DCU0	0	0	0	0	E1BPC0	F6VQK5	A0A287AB20	W5QB93	A0A2I2UIC7	E2R9W4	A0A286XEV7	G1SIR7	F1ND74	U3IBT2	G1NCM1
Q8NGR6	D3ZLW2	Q8VGV7	0	0	0	0	G3N1Z5	F7ASF5	A0A287B2B1	W5QD47	M3XG08	0	H0W415	G1TXF2	0	0	0
O60936	Q62881	Q9D1X0	0	0	0	0	F1MVS4	0	A0A287B0N7	W5NXM5	M3WB37	E2RC33	H0V4B5	G1SYD5	0	0	0
Q8IXS2	Q5XIJ8	Q8VHI7	Q9W212	0	0	0	Q2TA16	F6UPA4	F1SPN2	W5QCQ9	M3VU27	E2RS94	H0V0D0	G1U5R7	A0A1D5PU52	U3I5V4	H9H0Z1
P61204	A0A0G2K4Q4	P61205	0	0	0	0	0	F6TD06	A0A287B5T6	W5Q655	A0A2I2U8Y1	0	A0A286XI99	0	A0A1D5NZZ6	U3IR56	0
Q8IXS0	D3ZKT6	Q9D9W6	0	0	0	0	F1N2N3	F7DKD2	0	W5NQF9	M3WGG2	F1PNC2	0	G1TAZ5	0	0	0
Q8NGC7	F1M3L9	Q7TRL9	0	0	0	0	F1MBW8	F7BW19	A0A287AUF3	W5QEV5	M3X6C7	F1PW78	0	G1U8N6	0	0	0
P63010	P62944	Q9DBG3	0	0	0	0	G3X7G4	F6YFQ3	F1S182	W5P8Q0	A0A2I2U9T7	E2RIV1	0	G1SL02	A0A1D5P7Y8	U3IGS4	G1MY27
